epoch,split,energy_mean,energy_log_mean
1,train,371.95705366394543,5.532763826619185
1,validation,7.970485285113682e-07,7.970478463903419e-07
2,train,406.5628261314574,5.680960392090871
2,validation,2.3701265945419436e-06,2.3701122700003907e-06
3,train,407.7306311419603,5.67456390725917
3,validation,3.9671106399907785e-09,3.9671070872771e-09
4,train,417.12659130829496,5.689682286947632
4,validation,1.8824795888772172e-11,1.8824795888772172e-11
5,train,422.4882834155454,5.6909454124911765
5,validation,1.4310673306094923e-11,1.4310671571371447e-11
0,test,2.7878607408715617e-11,2.7878607408715617e-11
