epoch,split,loss,acc,macro_f1,ece,energy_mean
1,train,0.5870757721961802,0.6869040155739599,0.6770114659336273,0.0,695.6885815962564
1,validation,0.5783454191009954,0.7049740163325909,0.6992644178556566,0.06518538360163824,139.15884399414062
2,train,0.43704491047353683,0.7997492328504966,0.7962513224991115,0.0,300.5953703271358
2,validation,0.6855812412950227,0.6803266518188568,0.6743020157444654,0.13325390627230196,97.32479858398438
3,train,0.35403946626004035,0.8478404329032897,0.8456780852226234,0.0,264.1647912065981
3,validation,0.5210957271310518,0.7471417965850037,0.7471061150851115,0.06732161271634061,59.23264694213867
4,train,0.29738013146893133,0.8761342264163394,0.8744792642644659,0.0,235.380865781692
4,validation,0.5466215883223515,0.7719376391982182,0.7706990105330354,0.08728810092123157,26.209482192993164
5,train,0.25484887315628396,0.8977133995446597,0.8962847541899319,0.0,229.6301257925779
5,validation,0.5974649017993009,0.7575352635486265,0.757252166178427,0.11706744129779872,45.5499153137207
0,test,0.803601507629667,0.7029816513761468,0.7018803418803419,0.1798484777228548,147.52069091796875
